ID,employeeCode,firstName,lastName,email,mobile,status
10000000-0000-0000-0000-000000000001,EMP000001,John,Doe,john.doe@ewms.com,9876543210,true
10000000-0000-0000-0000-000000000002,EMP000002,Jane,Smith,jane.smith@ewms.com,9876543211,true
10000000-0000-0000-0000-000000000003,EMP000003,David,Miller,david.miller@ewms.com,9876543212,true
10000000-0000-0000-0000-000000000004,EMP000004,Sarah,Johnson,sarah.johnson@ewms.com,9876543213,true
10000000-0000-0000-0000-000000000005,EMP000005,Michael,Brown,michael.brown@ewms.com,9876543214,true
10000000-0000-0000-0000-000000000006,EMP000006,Emily,Davis,emily.davis@ewms.com,9876543215,true
10000000-0000-0000-0000-000000000007,EMP000007,Robert,Wilson,robert.wilson@ewms.com,9876543216,true
10000000-0000-0000-0000-000000000008,EMP000008,Linda,Taylor,linda.taylor@ewms.com,9876543217,true
10000000-0000-0000-0000-000000000009,EMP000009,James,Thomas,james.thomas@ewms.com,9876543218,true
10000000-0000-0000-0000-000000000010,EMP000010,Nancy,Moore,nancy.moore@ewms.com,9876543219,true
